,date,applicant_id,program,intake,cohort,gender,age_on_program_start,months_work_experience,years_work_experience,nationality,other_nationality,applicant_state,submitted_on,submitted_days_ago
0,2023-03-30,1,Master in Finance,September 2021,Master in Finance September 2021,Male,20,0.0,0.0,India,,deferred,2020-12-16,834
1,2023-03-30,2,Master in Management,September 2021,Master in Management September 2021,Male,23,18.0,1.5,India,,declined_offer,2021-02-10,778
2,2023-03-30,3,Master in Finance,September 2021,Master in Finance September 2021,Female,22,0.0,0.0,Taiwan,,rejected,2021-06-15,653
3,2023-03-30,4,Master in Management,September 2023,Master in Management September 2023,Female,22,0.0,0.0,Germany,,on_hold,2023-01-06,83
4,2023-03-30,6,Master in Management,September 2021,Master in Management September 2021,Male,24,0.0,0.0,India,,rejected,2021-04-29,700
5,2023-03-30,7,Master in Finance,September 2021,Master in Finance September 2021,Female,23,5.0,0.4166666666666667,Germany,,declined_offer,2020-11-23,857
6,2023-03-30,8,Master in Finance,September 2023,Master in Finance September 2023,Female,22,13.0,1.0833333333333333,Philippines,,declined_offer,2022-11-01,149
7,2023-03-30,9,Master in Marketing,September 2022,Master in Marketing September 2022,Male,24,24.0,2.0,India,,rejected,2022-02-02,421
8,2023-03-30,10,Master in Marketing,September 2023,Master in Marketing September 2023,Female,22,0.0,0.0,India,,on_hold,2022-09-12,199
9,2023-03-30,11,Master in Finance,September 2021,Master in Finance September 2021,Male,21,0.0,0.0,India,Morocco,rejected,2021-05-06,693
10,2023-03-30,12,Master in Finance,September 2022,Master in Finance September 2022,Female,22,0.0,0.0,China,,rejected,2021-12-06,479
11,2023-03-30,14,Master in Management,September 2021,Master in Management September 2021,Male,21,0.0,0.0,Pakistan,,declined_offer,2020-09-26,915
12,2023-03-30,15,Master in Finance,September 2021,Master in Finance September 2021,Male,23,8.0,0.6666666666666666,India,,rejected,2021-03-23,737
13,2023-03-30,16,Master in Management,September 2022,Master in Management September 2022,Male,23,8.0,0.6666666666666666,India,,withdrawn,2021-12-15,470
14,2023-03-30,18,Master in Management,September 2023,Master in Management September 2023,Male,24,0.0,0.0,India,,rejected,2022-10-23,158
15,2023-03-30,20,Master in Finance,September 2022,Master in Finance September 2022,Female,23,2.0,0.16666666666666666,India,,declined_offer,2022-07-15,258
16,2023-03-30,24,Master in Finance,September 2022,Master in Finance September 2022,Female,23,12.0,1.0,China,,on_hold,2022-06-26,277
17,2023-03-30,25,Master in Finance,September 2022,Master in Finance September 2022,Male,26,14.0,1.1666666666666667,Germany,,enrolled,2021-11-18,497
18,2023-03-30,27,Master in Marketing,September 2021,Master in Marketing September 2021,Female,21,0.0,0.0,Germany,,enrolled,2020-11-29,851
19,2023-03-30,28,Master in Finance,September 2022,Master in Finance September 2022,Female,21,0.0,0.0,Germany,,enrolled,2021-12-07,478
20,2023-03-30,29,Master in Finance,September 2021,Master in Finance September 2021,Female,22,18.0,1.5,Turkey,,enrolled,2021-01-06,813
21,2023-03-30,30,Master in Marketing,September 2022,Master in Marketing September 2022,Female,25,7.0,0.5833333333333334,Germany,,enrolled,2021-09-04,572
22,2023-03-30,32,Master in Marketing,September 2023,Master in Marketing September 2023,Female,22,0.0,0.0,Bulgaria,,withdrawn,2023-02-11,47
23,2023-03-30,33,Master in Finance,September 2022,Master in Finance September 2022,Male,21,0.0,0.0,India,,declined_offer,2022-04-10,354
24,2023-03-30,34,Master in Marketing,September 2022,Master in Marketing September 2022,Female,22,0.0,0.0,India,,on_hold,2021-09-13,563
25,2023-03-30,36,Master in Marketing,September 2022,Master in Marketing September 2022,Male,22,4.0,0.3333333333333333,India,,enrolled,2021-12-15,470
26,2023-03-30,37,Master in Finance,September 2023,Master in Finance September 2023,Female,22,0.0,0.0,Germany,,enrolled,2022-12-28,92
27,2023-03-30,38,Master in Marketing,September 2021,Master in Marketing September 2021,Male,24,0.0,0.0,India,Colombia,enrolled,2021-06-17,651
28,2023-03-30,39,Master in Management,September 2022,Master in Management September 2022,Female,21,0.0,0.0,France,,rejected,2022-08-31,211
29,2023-03-30,40,Master in Management,September 2023,Master in Management September 2023,Female,24,3.0,0.25,India,Rwanda,rejected,2022-11-13,137
30,2023-03-30,41,Master in Finance,September 2021,Master in Finance September 2021,Male,22,0.0,0.0,Russian Federation,,rejected,2020-11-02,878
31,2023-03-30,42,Master in Marketing,September 2022,Master in Marketing September 2022,Female,22,0.0,0.0,China,,on_hold,2022-01-20,434
32,2023-03-30,43,Master in Finance,September 2023,Master in Finance September 2023,Male,26,14.0,1.1666666666666667,India,,rejected,2023-03-09,21
33,2023-03-30,44,Master in Management,September 2023,Master in Management September 2023,Male,23,10.0,0.8333333333333334,India,,rejected,2022-12-20,100
34,2023-03-30,45,Master in Management,September 2023,Master in Management September 2023,Female,24,0.0,0.0,China,,enrolled,2022-10-18,163
35,2023-03-30,46,Master in Management,September 2022,Master in Management September 2022,Male,22,0.0,0.0,Russian Federation,,enrolled,2022-01-11,443
36,2023-03-30,47,Master in Finance,September 2021,Master in Finance September 2021,Female,22,15.0,1.25,Viet Nam,,enrolled,2021-01-16,803
37,2023-03-30,48,Master in Finance,September 2022,Master in Finance September 2022,Male,24,6.0,0.5,Norway,,withdrawn,2021-09-17,559
38,2023-03-30,49,Master in Marketing,September 2023,Master in Marketing September 2023,Male,23,0.0,0.0,Russian Federation,,rejected,2022-11-20,130
