,gender,program,submitted_on,age_on_program_start,months_work_experience,nationality,other_nationality,applicant_state
0,Male,Master in Business Analytics,2024-02-23,25,24,China,,rejected
1,Female,Master in Business Analytics,2024-03-05,23,8,Germany,,enrolled
2,Female,Master in Business Analytics,2024-01-30,23,10,China,,on_hold
3,Non-binary,Master in Business Analytics,2023-12-31,30,16,Chile,,enrolled
4,Female,Master in Business Analytics,2023-09-29,24,15,China,,declined_offer
5,Male,Master in Business Analytics,2023-09-15,23,0,Switzerland,,enrolled
6,Female,Master in Business Analytics,2024-01-19,23,0,China,,rejected
7,Male,Master in Business Analytics,2023-11-24,23,9,Russian Federation,,declined_offer
8,Male,Master in Business Analytics,2023-10-01,25,7,India,,rejected
9,Male,Master in Business Analytics,2024-02-01,22,0,India,,enrolled
10,Female,Master in Business Analytics,2024-01-12,24,11,India,,on_hold
11,Male,Master in Business Analytics,2023-09-29,22,0,India,,on_hold
12,Male,Master in Business Analytics,2024-01-28,26,36,Russian Federation,,enrolled
13,Male,Master in Business Analytics,2023-10-23,24,2,Kenya,Ireland,enrolled
14,Female,Master in Business Analytics,2024-03-13,25,11,India,,withdrawn
15,Male,Master in Business Analytics,2024-03-19,24,6,Russian Federation,,rejected
16,Male,Master in Business Analytics,2024-03-01,23,12,Philippines,,enrolled
17,Female,Master in Business Analytics,2023-11-04,24,10,China,,on_hold
18,Male,Master in Business Analytics,2024-03-13,24,5,Russian Federation,,enrolled
19,Female,Master in Business Analytics,2023-12-21,23,0,China,,rejected
20,Male,Master in Business Analytics,2023-09-16,22,0,Portugal,,enrolled
21,Male,Master in Business Analytics,2023-10-17,22,0,Russian Federation,,enrolled
22,Male,Master in Business Analytics,2023-09-30,22,0,Russian Federation,,declined_offer
23,Female,Master in Business Analytics,2023-12-16,23,3,India,,enrolled
24,Male,Master in Business Analytics,2023-12-15,24,8,Russian Federation,,enrolled
25,Male,Master in Business Analytics,2023-10-31,23,8,India,,rejected
26,Male,Master in Business Analytics,2023-11-20,22,6,India,,on_hold
27,Female,Master in Business Analytics,2024-02-10,25,7,Hong Kong,,enrolled
28,Female,Master in Business Analytics,2024-02-23,25,10,China,,rejected
29,Male,Master in Business Analytics,2024-02-15,24,14,Russian Federation,,enrolled
30,Male,Master in Business Analytics,2024-03-06,25,1,Viet Nam,,on_hold
31,Male,Master in Business Analytics,2023-09-09,24,0,Russian Federation,,rejected
32,Female,Master in Business Analytics,2023-10-07,23,0,United States,,enrolled
33,Male,Master in Business Analytics,2024-01-23,23,0,India,,rejected
34,Female,Master in Business Analytics,2023-12-31,22,23,China,,rejected
35,Female,Master in Business Analytics,2023-11-11,29,20,China,,on_hold
36,Female,Master in Business Analytics,2024-01-01,22,0,China,,rejected
37,Male,Master in Business Analytics,2024-02-05,21,0,Russian Federation,,declined_offer
38,Male,Master in Business Analytics,2023-10-01,25,22,France,,enrolled
39,Female,Master in Business Analytics,2023-11-11,23,9,India,,enrolled
40,Female,Master in Business Analytics,2024-01-02,23,3,Germany,,enrolled
41,Male,Master in Business Analytics,2023-12-27,25,10,Germany,,declined_offer
42,Male,Master in Business Analytics,2024-03-01,24,2,Russian Federation,,rejected
43,Male,Master in Business Analytics,2023-11-10,24,7,Germany,,enrolled
44,Female,Master in Business Analytics,2024-03-21,24,14,India,,on_hold
45,Female,Master in Business Analytics,2024-03-17,22,18,Korea,,enrolled
46,Female,Master in Business Analytics,2023-10-12,25,0,Germany,San Marino,rejected
47,Male,Master in Business Analytics,2023-11-04,26,5,Poland,,declined_offer
48,Male,Master in Business Analytics,2024-02-09,23,0,India,,enrolled
49,Male,Master in Business Analytics,2024-01-04,24,19,India,,rejected
50,Male,Master in Business Analytics,2024-02-04,22,18,India,,rejected
51,Male,Master in Business Analytics,2023-11-26,23,9,Russian Federation,,declined_offer
52,Female,Master in Business Analytics,2024-03-10,22,23,Serbia,Ireland,enrolled
53,Male,Master in Business Analytics,2024-01-13,24,2,Greece,,rejected
54,Female,Master in Business Analytics,2023-11-28,22,0,Venezuela,,enrolled
55,Male,Master in Business Analytics,2023-12-19,23,3,Russian Federation,,enrolled
56,Female,Master in Business Analytics,2023-12-14,24,9,Finland,,enrolled
57,Male,Master in Business Analytics,2024-02-23,24,12,China,,rejected
58,Female,Master in Business Analytics,2023-09-05,22,0,Italy,,declined_offer
59,Male,Master in Business Analytics,2023-12-14,22,0,China,,declined_offer
60,Male,Master in Business Analytics,2024-03-30,23,4,India,,enrolled
61,Female,Master in Business Analytics,2024-02-25,22,0,Korea,,declined_offer
62,Male,Master in Business Analytics,2023-11-28,23,0,India,,withdrawn
63,Male,Master in Business Analytics,2023-11-08,22,17,Russian Federation,,declined_offer
64,Male,Master in Business Analytics,2024-02-19,23,6,India,,enrolled
65,Male,Master in Business Analytics,2024-02-05,22,24,Germany,,rejected
66,Female,Master in Business Analytics,2023-11-01,23,7,Germany,,enrolled
67,Female,Master in Business Analytics,2023-12-23,22,0,India,,withdrawn
68,Male,Master in Business Analytics,2023-11-08,24,13,Russian Federation,,rejected
69,Female,Master in Business Analytics,2024-02-18,22,22,Hong Kong,,enrolled
70,Male,Master in Business Analytics,2024-01-06,24,9,Norway,,rejected
71,Male,Master in Business Analytics,2023-09-02,24,8,India,,rejected
72,Female,Master in Business Analytics,2024-03-17,23,4,China,,declined_offer
73,Female,Master in Business Analytics,2023-12-08,24,18,India,,rejected
74,Male,Master in Business Analytics,2023-10-25,23,0,India,,enrolled
75,Male,Master in Business Analytics,2024-02-05,24,18,India,,rejected
76,Male,Master in Business Analytics,2023-12-08,31,14,Russian Federation,,enrolled
77,Male,Master in Business Analytics,2024-01-22,22,0,Estonia,,deferred
78,Male,Master in Business Analytics,2023-11-24,23,15,India,,rejected
79,Female,Master in Business Analytics,2024-02-25,24,12,Portugal,,enrolled
80,Male,Master in Business Analytics,2024-02-23,25,14,Germany,,enrolled
81,Male,Master in Business Analytics,2023-11-06,22,0,Turkey,,enrolled
82,Male,Master in Business Analytics,2023-10-14,22,18,Germany,,rejected
83,Male,Master in Business Analytics,2024-01-23,26,15,United States,,enrolled
84,Female,Master in Business Analytics,2023-11-23,25,0,India,,rejected
85,Male,Master in Business Analytics,2023-11-06,27,7,India,,rejected
86,Female,Master in Business Analytics,2023-12-11,26,23,Germany,,declined_offer
87,Male,Master in Business Analytics,2023-09-23,26,14,Germany,,enrolled
88,Male,Master in Business Analytics,2024-03-28,22,0,India,,withdrawn
89,Female,Master in Business Analytics,2023-12-18,24,14,Germany,,enrolled
90,Male,Master in Business Analytics,2023-09-20,21,0,United Kingdom,,rejected
91,Male,Master in Business Analytics,2023-11-28,25,12,United States,,declined_offer
92,Male,Master in Business Analytics,2023-09-21,22,0,Germany,,declined_offer
93,Male,Master in Business Analytics,2024-03-05,20,0,India,,rejected
94,Male,Master in Business Analytics,2024-03-16,23,4,Russian Federation,,deferred
95,Male,Master in Business Analytics,2024-01-29,27,5,Greece,,declined_offer
96,Male,Master in Business Analytics,2024-01-30,24,6,Russian Federation,,declined_offer
97,Male,Master in Business Analytics,2023-10-24,24,0,India,,on_hold
98,Male,Master in Business Analytics,2024-02-23,25,6,India,,rejected
99,Female,Master in Business Analytics,2024-01-24,23,17,Taiwan,,enrolled
100,Female,Master in Business Analytics,2024-01-20,23,12,India,,rejected
101,Male,Master in Business Analytics,2024-03-05,24,0,India,,on_hold
102,Female,Master in Business Analytics,2023-12-23,22,0,India,,enrolled
103,Male,Master in Business Analytics,2023-12-05,23,0,Germany,,declined_offer
104,Female,Master in Business Analytics,2024-03-13,21,0,Germany,,on_hold
105,Female,Master in Business Analytics,2024-03-16,23,0,India,,rejected
106,Male,Master in Business Analytics,2023-11-30,23,2,Germany,,rejected
107,Female,Master in Business Analytics,2024-02-11,23,3,Portugal,,enrolled
108,Female,Master in Business Analytics,2024-01-09,22,1,Netherlands,Australia,enrolled
109,Female,Master in Business Analytics,2024-03-19,25,16,China,Czech Republic,rejected
110,Female,Master in Business Analytics,2024-02-11,22,5,China,,rejected
111,Female,Master in Business Analytics,2023-09-22,23,10,Taiwan,Greece,enrolled
112,Male,Master in Business Analytics,2023-09-24,22,0,Russian Federation,,rejected
113,Female,Master in Business Analytics,2024-01-22,34,4,India,,enrolled
114,Male,Master in Business Analytics,2023-09-30,23,19,India,,on_hold
