,gender,program,submitted_on,age_on_program_start,years_work_experience,nationality,other_nationality,applicant_state
0,Male,Full-time MBA,2023-04-09,28,7,India,,rejected
1,Female,Full-time MBA,2023-01-26,33,11,India,,rejected
2,Male,Full-time MBA,2022-01-14,31,8,India,,rejected
3,Female,Full-time MBA,2022-06-09,27,1,China,,withdrawn
4,Female,Full-time MBA,2021-04-19,30,10,India,,rejected
5,Male,Full-time MBA,2020-09-28,37,13,United States,,rejected
6,Female,Full-time MBA,2023-10-25,29,7,Germany,,rejected
7,Male,Full-time MBA,2022-11-01,27,4,United Kingdom,,enrolled
8,Male,Full-time MBA,2023-09-26,35,9,India,,rejected
9,Male,Full-time MBA,2021-12-29,33,11,Georgia,,declined_offer
10,Male,Full-time MBA,2021-09-13,35,8,Mexico,,rejected
11,Male,Full-time MBA,2020-10-20,40,18,Kenya,,declined_offer
12,Male,Full-time MBA,2022-07-29,32,11,India,,rejected
13,Male,Full-time MBA,2023-08-26,37,8,United States,,rejected
14,Female,Full-time MBA,2023-06-26,24,3,India,,declined_offer
15,Male,Full-time MBA,2023-04-29,34,5,China,,rejected
16,Male,Full-time MBA,2023-11-16,27,5,Philippines,,enrolled
17,Male,Full-time MBA,2021-10-24,34,11,Taiwan,,withdrawn
18,Male,Full-time MBA,2022-10-15,28,3,Hungary,,enrolled
19,Male,Full-time MBA,2024-01-06,25,3,India,,rejected
20,Male,Full-time MBA,2021-06-27,28,3,Taiwan,,enrolled
21,Male,Full-time MBA,2021-05-19,32,9,India,,rejected
22,Female,Full-time MBA,2022-04-15,33,11,Brazil,,on_hold
23,Female,Full-time MBA,2022-01-10,33,11,India,,enrolled
24,Male,Full-time MBA,2023-02-08,33,11,Nigeria,,enrolled
25,Male,Full-time MBA,2022-04-17,31,8,India,,enrolled
26,Male,Full-time MBA,2021-02-21,30,7,India,,enrolled
27,Male,Full-time MBA,2024-01-30,26,5,United States,,rejected
28,Male,Full-time MBA,2022-09-08,31,3,India,,enrolled
29,Male,Full-time MBA,2022-11-30,29,6,India,Russian Federation,enrolled
30,Male,Full-time MBA,2023-10-10,29,7,Lebanon,,declined_offer
31,Male,Full-time MBA,2021-10-04,40,18,India,,rejected
32,Male,Full-time MBA,2023-07-31,28,3,India,Colombia,withdrawn
33,Male,Full-time MBA,2022-05-01,37,10,India,,enrolled
34,Male,Full-time MBA,2023-03-07,32,11,Chile,,enrolled
35,Male,Full-time MBA,2023-05-11,29,7,India,,rejected
36,Male,Full-time MBA,2023-01-15,31,7,Taiwan,,declined_offer
37,Male,Full-time MBA,2023-11-29,34,12,India,,withdrawn
38,Male,Full-time MBA,2021-08-23,29,7,China,,rejected
39,Female,Full-time MBA,2023-02-03,30,7,India,,rejected
40,Male,Full-time MBA,2021-02-20,29,5,India,,rejected
41,Female,Full-time MBA,2023-07-18,25,3,India,Brazil,deferred
42,Female,Full-time MBA,2020-12-10,29,6,India,,rejected
43,Male,Full-time MBA,2022-04-13,38,10,India,,rejected
44,Female,Full-time MBA,2021-05-30,30,5,India,,declined_offer
45,Male,Full-time MBA,2023-06-21,34,7,India,,rejected
46,Male,Full-time MBA,2020-11-14,25,1,Italy,,withdrawn
47,Male,Full-time MBA,2021-09-16,34,13,India,,rejected
48,Female,Full-time MBA,2022-04-03,26,4,India,,declined_offer
49,Male,Full-time MBA,2023-06-15,35,14,Nigeria,,declined_offer
50,Female,Full-time MBA,2023-07-23,32,8,India,,withdrawn
51,Male,Full-time MBA,2022-05-31,38,14,Peru,,enrolled
52,Male,Full-time MBA,2022-11-20,27,7,Brazil,,enrolled
53,Male,Full-time MBA,2021-09-17,28,5,United Kingdom,,deferred
54,Male,Full-time MBA,2020-11-09,36,16,Pakistan,,declined_offer
55,Female,Full-time MBA,2024-03-13,32,8,Mexico,,rejected
56,Male,Full-time MBA,2023-04-04,30,7,Russian Federation,,declined_offer
57,Female,Full-time MBA,2020-11-23,30,8,India,,rejected
58,Male,Full-time MBA,2021-02-15,32,9,India,,rejected
59,Male,Full-time MBA,2023-02-20,33,4,India,,withdrawn
60,Male,Full-time MBA,2021-02-24,35,13,Lebanon,,declined_offer
61,Male,Full-time MBA,2021-02-18,36,9,Iran,,rejected
62,Female,Full-time MBA,2024-02-25,33,10,Pakistan,,enrolled
63,Female,Full-time MBA,2022-07-09,31,8,China,,enrolled
64,Female,Full-time MBA,2022-04-29,30,8,Hungary,,withdrawn
65,Male,Full-time MBA,2021-11-20,30,9,Germany,,enrolled
66,Male,Full-time MBA,2024-02-06,27,5,Peru,,enrolled
67,Male,Full-time MBA,2022-06-26,29,7,Egypt,,enrolled
68,Male,Full-time MBA,2022-01-23,30,10,India,,rejected
