,gender,program,submitted_on,age_on_program_start,months_work_experience,nationality,other_nationality,applicant_state
0,Male,Master in Finance,2020-12-16,20,0,India,,deferred
1,Male,Master in Management,2021-02-10,23,18,India,,declined_offer
2,Female,Master in Finance,2021-06-15,22,0,Taiwan,,rejected
3,Female,Master in Management,2023-01-06,22,0,Germany,,on_hold
4,Male,Master in Marketing,2023-10-26,23,0,Germany,,rejected
5,Male,Master in Management,2021-04-29,24,0,India,,rejected
6,Female,Master in Finance,2020-11-23,23,5,Germany,,declined_offer
7,Female,Master in Finance,2022-11-01,22,13,Philippines,,declined_offer
8,Male,Master in Marketing,2022-02-02,24,24,India,,rejected
9,Female,Master in Marketing,2022-09-12,22,0,India,,on_hold
10,Male,Master in Finance,2021-05-06,21,0,India,Morocco,rejected
11,Female,Master in Finance,2021-12-06,22,0,China,,rejected
12,Male,Master in Finance,2023-11-27,21,0,Croatia,,declined_offer
13,Male,Master in Management,2020-09-26,21,0,Pakistan,,declined_offer
14,Male,Master in Finance,2021-03-23,23,8,India,,rejected
15,Male,Master in Management,2021-12-15,23,8,India,,withdrawn
16,Female,Master in Marketing,2023-09-19,24,6,Italy,,enrolled
17,Male,Master in Management,2022-10-23,24,0,India,,rejected
18,Male,Master in Finance,2023-12-23,22,0,India,,enrolled
19,Female,Master in Finance,2022-07-15,23,2,India,,declined_offer
20,Male,Master in Marketing,2024-02-20,24,0,India,,deferred
21,Male,Master in Management,2024-01-20,22,0,Poland,,declined_offer
22,Female,Master in Marketing,2023-06-23,22,0,India,,enrolled
23,Female,Master in Finance,2022-06-26,23,12,China,,on_hold
24,Male,Master in Finance,2021-11-18,26,14,Germany,,enrolled
25,Male,Master in Finance,2023-08-03,24,0,India,,rejected
26,Female,Master in Marketing,2020-11-29,21,0,Germany,,enrolled
27,Female,Master in Finance,2021-12-07,21,0,Germany,,enrolled
28,Female,Master in Finance,2021-01-06,22,18,Turkey,,enrolled
29,Female,Master in Marketing,2021-09-04,25,7,Germany,,enrolled
30,Male,Master in Marketing,2023-10-27,23,0,Brazil,,enrolled
31,Female,Master in Marketing,2023-02-11,22,0,Bulgaria,,withdrawn
32,Male,Master in Finance,2022-04-10,21,0,India,,declined_offer
33,Female,Master in Marketing,2021-09-13,22,0,India,,on_hold
34,Male,Master in Management,2024-01-23,29,16,India,,on_hold
35,Male,Master in Marketing,2021-12-15,22,4,India,,enrolled
36,Female,Master in Finance,2022-12-28,22,0,Germany,,enrolled
37,Male,Master in Marketing,2021-06-17,24,0,India,Colombia,enrolled
38,Female,Master in Management,2022-08-31,21,0,France,,rejected
39,Female,Master in Management,2022-11-13,24,3,India,Rwanda,rejected
40,Male,Master in Finance,2020-11-02,22,0,Russian Federation,,rejected
41,Female,Master in Marketing,2022-01-20,22,0,China,,on_hold
42,Male,Master in Finance,2023-03-09,26,14,India,,rejected
43,Male,Master in Management,2022-12-20,23,10,India,,rejected
44,Female,Master in Management,2022-10-18,24,0,China,,enrolled
45,Male,Master in Management,2022-01-11,22,0,Russian Federation,,enrolled
46,Female,Master in Finance,2021-01-16,22,15,Viet Nam,,enrolled
47,Male,Master in Finance,2021-09-17,24,6,Norway,,withdrawn
48,Male,Master in Marketing,2022-11-20,23,0,Russian Federation,,rejected
49,Male,Master in Marketing,2020-12-21,24,9,France,,declined_offer
50,Female,Master in Marketing,2020-10-07,23,9,India,,declined_offer
51,Female,Master in Management,2021-06-12,23,0,Estonia,,enrolled
52,Female,Master in Finance,2021-12-21,21,0,China,,declined_offer
53,Female,Master in Marketing,2022-08-06,20,2,India,,enrolled
54,Male,Master in Finance,2021-12-14,23,0,India,Georgia,on_hold
55,Female,Master in Management,2022-06-20,21,0,China,,rejected
56,Male,Master in Management,2022-10-22,22,0,Russian Federation,,enrolled
57,Male,Master in Management,2023-02-25,23,0,India,,withdrawn
58,Female,Master in Management,2021-09-09,22,0,India,,declined_offer
59,Male,Master in Management,2022-01-02,23,0,India,,withdrawn
60,Female,Master in Marketing,2020-09-04,23,0,Germany,,enrolled
61,Male,Master in Marketing,2021-09-13,22,2,India,,withdrawn
62,Female,Master in Management,2022-11-25,27,12,Germany,,enrolled
63,Male,Master in Management,2023-10-03,22,0,India,,withdrawn
64,Male,Master in Marketing,2022-04-28,25,14,Germany,,rejected
65,Female,Master in Finance,2022-05-12,24,24,India,,rejected
66,Male,Master in Marketing,2022-09-16,21,0,Norway,,declined_offer
67,Female,Master in Marketing,2023-10-02,22,0,China,,on_hold
68,Male,Master in Finance,2022-10-18,27,12,China,,rejected
69,Male,Master in Marketing,2022-04-29,26,0,Nigeria,United States,on_hold
70,Male,Master in Finance,2024-03-21,22,3,India,,rejected
71,Male,Master in Marketing,2020-12-13,22,0,Georgia,,enrolled
72,Female,Master in Management,2020-11-02,23,5,Taiwan,,on_hold
73,Male,Master in Finance,2021-10-06,22,0,Russian Federation,,declined_offer
74,Female,Master in Management,2021-05-29,22,20,India,,rejected
75,Female,Master in Finance,2023-04-05,22,0,France,,rejected
76,Female,Master in Management,2023-12-28,23,0,Germany,,enrolled
77,Male,Master in Management,2023-07-19,22,0,Pakistan,,enrolled
78,Female,Master in Finance,2022-04-10,24,36,Serbia,,enrolled
79,Female,Master in Finance,2023-09-18,22,9,China,,rejected
80,Male,Master in Marketing,2021-03-04,26,36,Mexico,,enrolled
81,Male,Master in Management,2023-07-11,23,6,Germany,,declined_offer
82,Female,Master in Management,2023-05-25,24,7,India,,enrolled
83,Male,Master in Management,2021-08-01,25,12,Iran,,rejected
84,Female,Master in Marketing,2023-10-06,22,0,United States,,rejected
85,Male,Master in Finance,2023-02-02,21,0,Japan,,rejected
86,Female,Master in Management,2023-03-04,24,36,China,,on_hold
87,Male,Master in Management,2022-02-10,21,0,Russian Federation,,enrolled
88,Male,Master in Finance,2021-08-09,26,0,Italy,,enrolled
89,Female,Master in Marketing,2022-11-22,26,13,Switzerland,,enrolled
90,Female,Master in Marketing,2023-09-27,24,10,India,,enrolled
91,Male,Master in Marketing,2021-04-27,26,0,Germany,,declined_offer
92,Female,Master in Finance,2022-01-10,22,0,China,,on_hold
93,Female,Master in Marketing,2023-06-02,24,0,Italy,,rejected
94,Male,Master in Finance,2021-10-25,23,0,Russian Federation,,enrolled
95,Male,Master in Marketing,2022-08-30,23,10,India,,rejected
96,Male,Master in Management,2021-02-19,21,0,Mexico,,enrolled
97,Female,Master in Management,2023-03-26,24,9,China,,withdrawn
98,Male,Master in Management,2023-12-23,36,6,India,,withdrawn
99,Female,Master in Finance,2024-03-11,27,36,China,,declined_offer
100,Male,Master in Finance,2022-05-26,25,0,Taiwan,,declined_offer
101,Female,Master in Management,2023-10-02,23,10,Tunisia,,enrolled
102,Male,Master in Finance,2024-02-01,24,10,Russian Federation,,rejected
103,Female,Master in Finance,2020-10-05,22,0,Viet Nam,,enrolled
104,Male,Master in Marketing,2023-05-24,23,9,Norway,,enrolled
105,Male,Master in Management,2020-12-13,38,17,Kenya,,rejected
106,Female,Master in Finance,2023-05-01,23,0,Taiwan,,enrolled
107,Female,Master in Management,2022-10-07,25,14,India,,withdrawn
108,Female,Master in Finance,2022-11-25,26,36,India,,rejected
109,Male,Master in Management,2021-08-23,25,0,India,,withdrawn
110,Female,Master in Management,2023-02-16,22,0,China,Venezuela,rejected
111,Female,Master in Management,2021-09-17,25,14,China,,enrolled
112,Female,Master in Marketing,2021-05-03,25,24,India,,declined_offer
113,Male,Master in Finance,2022-05-05,26,11,Russian Federation,,declined_offer
