,gender,program,submitted_on,age_on_program_start,years_work_experience,nationality,other_nationality,applicant_state
0,Male,Executive MBA,2022-07-11,23,3,China,,rejected
1,Female,Executive MBA,2022-07-24,36,14,China,,enrolled
2,Female,Online MBA,2022-12-13,34,5,Italy,,rejected
3,Female,Executive MBA,2020-12-03,36,7,India,,rejected
4,Male,Online MBA,2023-06-20,27,3,Russian Federation,,declined_offer
5,Male,Online MBA,2023-04-13,36,14,India,,rejected
6,Male,Online MBA,2022-06-19,50,20,Ghana,,enrolled
7,Male,Executive MBA,2023-10-26,35,13,India,,enrolled
8,Male,Online MBA,2023-12-21,38,15,Mexico,,declined_offer
9,Male,Executive MBA,2021-10-10,24,3,United States,,enrolled
10,Male,Online MBA,2020-10-14,37,16,Russian Federation,,declined_offer
11,Female,Executive MBA,2023-06-22,31,2,Poland,Belarus,withdrawn
12,Male,Online MBA,2022-03-03,40,18,United States,,declined_offer
13,Female,Online MBA,2023-09-27,34,5,United States,,enrolled
14,Male,Part-time MBA,2022-11-25,35,11,Russian Federation,,on_hold
15,Male,Online MBA,2022-07-14,37,14,Mexico,,enrolled
16,Female,Online MBA,2023-02-18,34,10,Mexico,,rejected
17,Male,Online MBA,2021-06-03,42,10,Serbia,,rejected
18,Male,Part-time MBA,2023-03-01,31,9,United States,,enrolled
19,Male,Online MBA,2021-01-02,33,2,Romania,,enrolled
20,Male,Part-time MBA,2021-12-25,30,8,Mexico,,enrolled
21,Male,Online MBA,2022-11-28,39,17,Russian Federation,,enrolled
22,Female,Online MBA,2023-05-02,45,16,Switzerland,,enrolled
23,Male,Online MBA,2021-07-13,32,11,Russian Federation,,enrolled
24,Male,Online MBA,2024-03-30,31,8,Portugal,,rejected
25,Female,Online MBA,2022-10-13,27,3,China,,enrolled
26,Female,Online MBA,2022-03-02,29,7,Germany,,rejected
27,Male,Online MBA,2022-06-30,41,14,China,,enrolled
28,Male,Executive MBA,2022-11-22,46,11,China,,enrolled
29,Male,Online MBA,2021-11-05,50,19,France,,enrolled
30,Male,Online MBA,2023-09-05,35,16,Spain,,enrolled
31,Female,Part-time MBA,2022-05-28,28,3,Philippines,,enrolled
32,Female,Online MBA,2020-10-14,44,13,Belarus,,rejected
33,Female,Executive MBA,2022-06-28,39,9,China,,enrolled
34,Male,Part-time MBA,2024-03-17,34,11,United States,,enrolled
35,Male,Online MBA,2022-03-16,35,13,Greece,,rejected
36,Male,Part-time MBA,2023-08-12,41,15,Germany,,declined_offer
37,Female,Online MBA,2023-12-16,39,8,Italy,,enrolled
38,Male,Online MBA,2023-05-07,35,14,Germany,,declined_offer
39,Male,Online MBA,2023-12-02,25,4,India,Ireland,withdrawn
40,Male,Part-time MBA,2023-03-06,26,4,Germany,,enrolled
41,Male,Executive MBA,2021-02-24,33,13,Switzerland,,enrolled
42,Male,Online MBA,2020-10-09,35,11,United States,Turkey,enrolled
43,Male,Part-time MBA,2022-11-06,33,10,Spain,,enrolled
44,Male,Online MBA,2023-05-18,42,18,Germany,,withdrawn
45,Male,Part-time MBA,2022-11-10,30,8,Norway,,enrolled
46,Male,Part-time MBA,2021-03-05,34,10,Poland,,enrolled
47,Male,Online MBA,2022-05-19,39,16,Germany,,enrolled
48,Male,Online MBA,2023-08-26,35,4,Russian Federation,,withdrawn
49,Male,Online MBA,2024-03-25,26,3,Viet Nam,,enrolled
50,Female,Executive MBA,2021-10-05,41,18,France,,enrolled
51,Male,Executive MBA,2023-08-29,39,9,Greece,,enrolled
52,Male,Online MBA,2021-05-10,35,10,Poland,,rejected
53,Male,Part-time MBA,2023-04-26,28,8,India,,on_hold
54,Male,Executive MBA,2023-08-18,35,13,United Kingdom,,enrolled
55,Male,Online MBA,2020-11-14,32,10,China,,enrolled
56,Female,Online MBA,2022-05-25,37,13,Kenya,,enrolled
57,Male,Online MBA,2022-10-18,40,17,India,,withdrawn
58,Male,Executive MBA,2022-02-02,36,8,Pakistan,,deferred
59,Male,Online MBA,2023-08-07,35,11,United States,,declined_offer
60,Male,Executive MBA,2020-12-11,36,16,India,,enrolled
61,Male,Part-time MBA,2021-03-28,32,8,Russian Federation,,enrolled
62,Male,Executive MBA,2023-09-17,48,20,Finland,,enrolled
63,Female,Online MBA,2022-05-15,36,14,United States,,enrolled
64,Male,Part-time MBA,2021-11-29,30,5,France,,enrolled
65,Male,Online MBA,2023-07-31,31,8,Germany,,rejected
66,Male,Online MBA,2021-01-17,36,6,Russian Federation,,enrolled
67,Male,Online MBA,2021-12-09,37,6,Russian Federation,,enrolled
68,Female,Online MBA,2023-04-11,35,13,China,,enrolled
69,Male,Executive MBA,2020-10-15,31,10,Germany,,on_hold
70,Male,Executive MBA,2021-08-14,33,3,Venezuela,,enrolled
71,Male,Online MBA,2023-08-20,32,11,India,Morocco,deferred
72,Male,Executive MBA,2022-08-19,34,14,India,,enrolled
73,Female,Executive MBA,2022-04-24,40,13,Taiwan,,on_hold
74,Male,Online MBA,2023-12-16,38,11,Germany,,enrolled
75,Male,Part-time MBA,2023-08-01,30,10,India,,enrolled
76,Female,Online MBA,2021-10-18,33,11,Serbia,,enrolled
77,Female,Part-time MBA,2023-06-21,39,10,Germany,,enrolled
78,Male,Online MBA,2020-10-11,28,4,Russian Federation,,enrolled
79,Male,Executive MBA,2023-12-20,30,11,China,,enrolled
80,Male,Online MBA,2022-11-07,38,18,Pakistan,,enrolled
81,Male,Part-time MBA,2024-01-16,35,13,China,,withdrawn
